source_id,title,source,type,category,url,platform,status
PMC-18,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Published Literature,Published
PMC-19,Toll mediated infection response is altered by gravity and spaceflight in Drosophila,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Published Literature,Published
PMC-20,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Published Literature,Published
PMC-21,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,Published Literature,Published
PMC-22,FAIRness and usability for open-access omics data systems.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,Published Literature,Published
PMC-23,NASA GeneLab platform utilized for biological response to space radiation in animal models,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,Published Literature,Published
PMC-24,Circulating miRNA spaceflight signature reveals targets for countermeasure development,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Published Literature,Published
PMC-25,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Published Literature,Published
PMC-26,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Published Literature,Published
PMC-27,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Published Literature,Published
PMC-28,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Published Literature,Published
PMC-29,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,Published Literature,Published
PMC-30,Aging and putative frailty biomarkers are altered by spaceflight,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Published Literature,Published
PMC-31,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,Published Literature,Published
PMC-32,Ethical considerations for the age of non-governmental space exploration,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,Published Literature,Published
PMC-33,Innate immune responses of Drosophila melanogaster are altered by spaceflight.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Published Literature,Published
PMC-34,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,Published Literature,Published
PMC-35,Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,Published Literature,Published
PMC-36,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,Published Literature,Published
PMC-37,ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,Published Literature,Published
PMC-38,Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,Published Literature,Published
PMC-39,Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,Published Literature,Published
PMC-40,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,Published Literature,Published
PMC-41,Microgravity Stress: Bone and Connective Tissue,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,Published Literature,Published
PMC-42,S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,Published Literature,Published
PMC-43,Manipulating the permeation of charged compounds through the MscL nanovalve.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,Published Literature,Published
PMC-44,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,Published Literature,Published
PMC-45,Three routes to modulate the pore size of the MscL channel/nanovalve,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,Published Literature,Published
PMC-46,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,Published Literature,Published
PMC-47,The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,Published Literature,Published
PMC-48,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,Published Literature,Published
PMC-49,Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,Published Literature,Published
PMC-50,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,Published Literature,Published
PMC-51,Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,Published Literature,Published
PMC-52,Desiccation of Hypsibius exemplaris,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,Published Literature,Published
PMC-53,The biology of tardigrade disordered proteins in extreme stress tolerance.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,Published Literature,Published
PMC-54,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,Published Literature,Published
PMC-55,Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,Published Literature,Published
PMC-56,"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,Published Literature,Published
PMC-57,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,Published Literature,Published
PMC-58,Spaceflight Activates Lipotoxic Pathways in Mouse Liver,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,Published Literature,Published
PMC-59,Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,Published Literature,Published
PMC-60,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,Published Literature,Published
PMC-61,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,Published Literature,Published
PMC-62,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,Published Literature,Published
PMC-63,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,Published Literature,Published
PMC-64,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,Published Literature,Published
PMC-65,Organization of the ER-Golgi interface for membrane traffic control.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,Published Literature,Published
PMC-66,IRE1: ER stress sensor and cell fate executor.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,Published Literature,Published
PMC-67,Inter-regulation of the unfolded protein response and auxin signaling.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,Published Literature,Published
PMC-68,Endoplasmic reticulum-shape and function in stress translation,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,Published Literature,Published
PMC-69,Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,Published Literature,Published
PMC-70,"Unfolded protein response in plants: one master, many questions.",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,Published Literature,Published
PMC-71,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,Published Literature,Published
PMC-72,Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,Published Literature,Published
PMC-73,Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,Published Literature,Published
PMC-74,Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,Published Literature,Published
PMC-75,NADPH oxidase activity is required for ER stress survival in plants.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,Published Literature,Published
PMC-76,Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,Published Literature,Published
PMC-77,Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,Published Literature,Published
PMC-78,"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,Published Literature,Published
PMC-79,Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,Published Literature,Published
PMC-80,Acceleration profiles and processing methods for parabolic flight.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,Published Literature,Published
PMC-81,Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,Published Literature,Published
PMC-82,Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,Published Literature,Published
PMC-83,Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,Published Literature,Published
PMC-84,Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,Published Literature,Published
PMC-85,Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,Published Literature,Published
PMC-86,Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,Published Literature,Published
PMC-87,Evaluation of in vitro macrophage differentiation during space flight.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,Published Literature,Published
PMC-88,Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,Published Literature,Published
PMC-89,Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,Published Literature,Published
PMC-90,Development and characterization of two porcine monocyte-derived macrophage cell lines.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,Published Literature,Published
PMC-91,Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,Published Literature,Published
PMC-92,Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,Published Literature,Published
PMC-93,Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,Published Literature,Published
PMC-94,Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,Published Literature,Published
PMC-95,Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,Published Literature,Published
PMC-96,Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,Published Literature,Published
PMC-97,A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,Published Literature,Published
PMC-98,Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,Published Literature,Published
PMC-99,Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,Published Literature,Published
PMC-100,An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,Published Literature,Published
PMC-101,Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,Published Literature,Published
PMC-102,Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,Published Literature,Published
PMC-103,Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,Published Literature,Published
PMC-104,GeneLab: Omics database for spaceflight experiments,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,Published Literature,Published
PMC-105,NASA GeneLab: Interfaces for the exploration of space omics data,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,Published Literature,Published
PMC-106,Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,Published Literature,Published
PMC-107,A New Era for Space Life Science: International Standards for Space Omics Processing,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,Published Literature,Published
PMC-108,Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,Published Literature,Published
PMC-109,NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,Published Literature,Published
PMC-110,Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,Published Literature,Published
PMC-111,Biological horizons: pioneering open science in the cosmos,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,Published Literature,Published
PMC-112,Inspiration4 data access through the NASA Open Science Data Repository,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,Published Literature,Published
PMC-113,NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,Published Literature,Published
PMC-114,Celebrating 30 years of access to NASA space life sciences data,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,Published Literature,Published
PMC-115,Dichotomous effects on lymphatic transport with loss of caveolae in mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,Published Literature,Published
PMC-116,Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,Published Literature,Published
PMC-117,Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,Published Literature,Published
PMC-118,Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/,Published Literature,Published
PMC-119,Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,Published Literature,Published
PMC-120,Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/,Published Literature,Published
PMC-121,Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/,Published Literature,Published
PMC-122,"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/,Published Literature,Published
PMC-123,Exercise training augments regional bone and marrow blood flow during exercise.,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/,Published Literature,Published
PMC-124,Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,PMC Bioscience Papers,Research Publication,space_bioscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/,Published Literature,Published
